Month,Avg. Players,Gain,% Gain,Peak Players,app_id,name
Last 30 Days,1.86,-0.9,-32.65%,6,340,Half-Life 2: Lost Coast
January 2026,2.76,0.09,+3.21%,7,340,Half-Life 2: Lost Coast
December 2025,2.68,0.07,+2.83%,11,340,Half-Life 2: Lost Coast
August 2025,2.6,-1.50,-36.59%,8,340,Half-Life 2: Lost Coast
July 2025,4.11,2.19,+114.54%,9,340,Half-Life 2: Lost Coast
June 2025,1.91,-0.42,-17.97%,7,340,Half-Life 2: Lost Coast
May 2025,2.33,-0.66,-22.01%,7,340,Half-Life 2: Lost Coast
April 2025,2.99,-1.15,-27.73%,7,340,Half-Life 2: Lost Coast
March 2025,4.14,0.39,+10.51%,10,340,Half-Life 2: Lost Coast
February 2025,3.75,-1.01,-21.31%,12,340,Half-Life 2: Lost Coast
January 2025,4.76,-0.74,-13.52%,14,340,Half-Life 2: Lost Coast
December 2024,5.5,-5.44,-49.69%,14,340,Half-Life 2: Lost Coast
November 2024,10.94,0.48,+4.55%,35,340,Half-Life 2: Lost Coast
October 2024,10.47,-0.88,-7.79%,24,340,Half-Life 2: Lost Coast
September 2024,11.35,-1.92,-14.46%,27,340,Half-Life 2: Lost Coast
August 2024,13.27,-1.59,-10.73%,31,340,Half-Life 2: Lost Coast
July 2024,14.86,1.99,+15.42%,31,340,Half-Life 2: Lost Coast
June 2024,12.88,1.74,+15.62%,28,340,Half-Life 2: Lost Coast
May 2024,11.14,-1.61,-12.60%,27,340,Half-Life 2: Lost Coast
April 2024,12.74,-3.70,-22.50%,30,340,Half-Life 2: Lost Coast
March 2024,16.44,0.77,+4.92%,43,340,Half-Life 2: Lost Coast
February 2024,15.67,-5.94,-27.48%,36,340,Half-Life 2: Lost Coast
January 2024,21.61,-2.67,-10.99%,51,340,Half-Life 2: Lost Coast
December 2023,24.28,-2.39,-8.94%,53,340,Half-Life 2: Lost Coast
November 2023,26.67,10.68,+66.76%,104,340,Half-Life 2: Lost Coast
October 2023,15.99,-2.31,-12.63%,38,340,Half-Life 2: Lost Coast
September 2023,18.3,3.27,+21.78%,45,340,Half-Life 2: Lost Coast
August 2023,15.03,-4.23,-21.98%,30,340,Half-Life 2: Lost Coast
July 2023,19.26,6.79,+54.38%,40,340,Half-Life 2: Lost Coast
June 2023,12.48,1.56,+14.30%,32,340,Half-Life 2: Lost Coast
May 2023,10.92,-4.26,-28.05%,26,340,Half-Life 2: Lost Coast
April 2023,15.17,-0.00,-0.01%,41,340,Half-Life 2: Lost Coast
March 2023,15.17,1.60,+11.75%,37,340,Half-Life 2: Lost Coast
February 2023,13.58,-4.58,-25.22%,37,340,Half-Life 2: Lost Coast
January 2023,18.16,0.70,+4.02%,41,340,Half-Life 2: Lost Coast
December 2022,17.46,3.07,+21.31%,38,340,Half-Life 2: Lost Coast
November 2022,14.39,1.95,+15.65%,40,340,Half-Life 2: Lost Coast
October 2022,12.44,-0.37,-2.86%,29,340,Half-Life 2: Lost Coast
September 2022,12.81,-0.62,-4.59%,29,340,Half-Life 2: Lost Coast
August 2022,13.43,-5.07,-27.39%,28,340,Half-Life 2: Lost Coast
July 2022,18.49,5.13,+38.43%,43,340,Half-Life 2: Lost Coast
June 2022,13.36,-0.67,-4.80%,35,340,Half-Life 2: Lost Coast
May 2022,14.03,-0.24,-1.70%,28,340,Half-Life 2: Lost Coast
April 2022,14.27,-2.18,-13.25%,34,340,Half-Life 2: Lost Coast
March 2022,16.45,-5.46,-24.91%,33,340,Half-Life 2: Lost Coast
February 2022,21.91,2.30,+11.73%,45,340,Half-Life 2: Lost Coast
